polarity,tweet,brand_name
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0,Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI mov,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
-0.1,Wanted Police investigators in SuffolkCounty are attempting to locate a wanted woman who allegedly stole a,Gucci
-0.1,Wanted Police investigators on LongIsland are attempting to locate a wanted woman who allegedly stole a,Gucci
0,Check out GUCCI HANDBAG VINTAGE GUCCI BOSTON DR BAG 70s SUEDE LOGO PURSE TRAVEL 2 WAY TOTE Gucci,Gucci
0.1,Early morning in palmsprings desertX gucci thenorthface dome art,Gucci
0,Collaboration between gucci amp thenorthface palmsprings desertX art,Gucci
-0.071428571,RT caseyflacko fr fr we legit have the power to make every single one in our circles BOSSES go chuck that to ur friends business,Gucci
0.55,RT minimallph Gucci need we say more Own a piece of designer with this Supreme Coated Canvass and Leather Web Messenger Bag Ord,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from flowergirl32068 poshmark fashion,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT gucci HarryStyles and DevontHynes performing together at the GRAMMYs in custom Gucci by AlessandroMichele RecordingAcad htt,Gucci
0.75,Created in masterful abundanceDiscover the latest by Gucci Discover Collection,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.136363636,My new brand new Wallet GUCCI,Gucci
-0.1875,Working on core words with a little bit of style Gucci HarvestLearn,Gucci
0,RT AusJwalkerz JP IGIGSTORY Jay Park shares photos of himself from his cover shoot for GQ Korea April 2021 IssueCaption gqk,Gucci
0.5,RT innsarin Love me love my dog gucci,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.1,4L My Old Tweets was dat g shyt Gucci,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
-0.071428571,fr fr we legit have the power to make every single one in our circles BOSSES go chuck that to ur friends b,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.375,Love Is Always Bestowed As A Gift Freely Willingly And Without Expectation beauty basket sco 6 Tricitys Bigge,Gucci
0,gucci partners with KPop star Kai weareoneEXO for capsule collection GUCCI KAI,Gucci
0.333333333,RT TREASUREWRDR JUNGHWANGUCCI Donald Duck Crop sweatshirt 1200JAEHYUKMARNI Bold Knitted Striped Jumper 790YEDAMJWANDERSO,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
-0.258333333,PatriziaReggiani who was released a few years ago has said she was miffed by the failure of her onscreen inca,Gucci
0,BEFORE AND AFTER ON NAS100NASDAQ100take note of the breakout as indicated above as we wait for the formation of,Gucci
0.3,RT MinaLoganArt Adam as Signore GucciBy far this is my favorite piece to date and my contribution to the House of Gucci craze EnjoyA,Gucci
0,BEFORE AND AFTER ON NAS100NASDAQ100take note of the breakout as indicated above as we wait for the formation of,Gucci
0,take note of the breakout as indicated above as we wait for the formation of the up trendlineDM for signals and d,Gucci
0,take note of the breakout as indicated above as we wait for the formation of the up trendlineDM for signals and d,Gucci
0,TOJISEXGOD My fur suit is gucci,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT ItalyHighTech Italy the only country on earth where now ventilators are made by Ferrari PPE medical vest by Armani PPE masks by,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from jazzslayyy poshmark fashion,Gucci
